ITword,ITcatlog,ITcertainty,defn
COUNTRY CODE,3,0,Country codes are used in direct distance dialing. Codes corresponding to the world numbering plan start with a single digit that identifies a particular geographical area. This can be followed by one or two extra digits.
COURSE MANAGEMENT,0,0,The administrative module that is used to place a structure around computer-based training (CBT) content to: 1.
COV,1,0,"The government of the Commonwealth of Virginia, and its agencies and departments."
CP,1,0,"A temporary endeavor, undertaken by a Commonwealth executive branch agency (or agencies), to deliver a unique product or service. Commonwealth projects are expected to follow project management best practices and comply with project management requirements identified in the Code of Virginia, Governor's Executive Orders, and COV ITRM policies, standards, and guidelines."
CPA,2,0,"Enables simultaneous and cost-effective production and archiving in print and Internet formats by integrating five key processes: document creation and retrieval, assembly and formatting, internal archiving, prepress and printing and Internet publishing."
CPAAS,2,1,"cPaaS offers application leaders a cloud-based, multilayered middleware on which they can develop, run and distribute communications software. The platform offers APIs and integrated development environments that simplify the integration of communications capabilities (for example, voice, messaging and video) into applications, services or business processes."
CPC,0,1,"An online advertising metric which refers to advertising spending divided by the number of recipients who click on the message (e.g., a banner ad on a website or a link embedded in e-mail message)."
CPE,2,1,"Customer premises equipment (CPE) consists of any telephone apparatus Çincluding telephone handsets, private branch exchange (PBX) switching equipment, key and hybrid telephone systems, and add-on devices Çthat is physically located on a customerÇs property, as opposed to being housed in the telephone companyÇs central office or elsewhere in the network."
CPGA,0,0,"Typically, the cost of sales and marketing, advertising and handset subsidies over total gross adds."
CPI,0,0,A measure of cost efficiency on a project. It is the ratio of earned value (EV) to actual costs (AC). CPI = EV divided by AC. A value equal to or greater than one indicates a favorable condition and a value less than one indicates an unfavorable condition. Reference: PMBOK
CPM,0,0,"A schedule network analysis technique used to determine the amount of scheduling flexibility (the amount of float) on various logical network paths in the project schedule network, and to determine the minimum total project duration. Early start and finish dates are calculated by means of a forward pass using a specified start date. Late start and finish dates are calculated by means of a backward pass, starting from a specified completion date, which sometimes is the project early finish date determined during the forward pass calculation. Reference: PMBOK"
CPMS,4,0,"Software whose basic functionality is to produce basic rent rolls and feed to general ledger; to track simple information about leased or owned property (e.g., renewal dates, term dates, amount of square footage and basic breakdown of divisions or departments in space for space allocation); and to capture data regarding parties to agreement and basic contract information."
CPO,2,0,Responsible for ensuring the company complies with existing data privacy laws.
CPOE,0,0,Computer-based physician order entry (CPOE) refers to a physicianÇs direct input of orders (medication and nonmedication) into an acute care (inpatient) automation system. We use physician order entry to emphasize that the ordering clinician Çnot someone operating on her behalf Çneeds to interact with the system.
CPP,4,1,The use of parallel-processing systems for complex commercial applications.
CPR,4,1,"A system that contains electronically maintained information about an individualÇs health status and care. It focuses on tasks directly related to patient care, unlike other healthcare information systems that support providersÇ and payersÇ operational processes (which may, however, serve as source or feeder systems for the CPR). The CPR completely replaces the paper medical chart and thus must meet all clinical, legal and administrative requirements."
CPRI,2,1,"An industry cooperation between Ericsson, Nortel, NEC, Siemens and Huawei to define an open and published interface between radio equipment control and the radio equipment. Although open and freely available, this interface is not defined by 3GPP and is targeting WCDMA."
CPS,2,0,"A document defining all the operational practices that will be used to maintain the required level of public-key infrastructure (PKI) security. To prove that issued certificates are valid, an enterprise must demonstrate (usually through an audit) adherence to its CPS. The Internet Engineering Task ForceÇs (IETFÇs) request for comment (RFC) 2527 contains draft guidelines for the format and content of a CPS."
CPT,2,1,"A widely used controlled medical vocabulary authored by the American Medical Association, this system describes medical and surgical procedures in a hierarchical format with six major sections and more than 7,300 codes. A series of two-digit modifiers are used to increase specificity, allowing the reporting of a procedure under specific circumstances."
CPU,2,1,"The component of a computer system that controls the interpretation and execution of instructions. The CPU of a PC consists of a single microprocessor, while the CPU of a more powerful mainframe consists of multiple processing devices, and in some cases, hundreds of them. The term ìprocessorî is often used to refer to a CPU."
CQI,0,0,"A methodology for to continuous improvement of the quality of an enterpriseÇs products, services or internal processes."
CRACKER,2,0,An individual who breaks into computer systems with the intention of doing damage or committing a crime.
CRASHING,0,0,A specific type of project schedule compression technique performed by taking action to decrease the total project schedule duration after analyzing a number of alternatives to determine how to get the maximum duration compression for the lease additional cost. Typical approaches for crashing a schedule include reducing schedule activity duration and increasing the assignment of resources on schedule activities. Reference: PMBOK
CRC,2,0,An error detection technique using a polynomial to generate a series of two 8-bit block check characters that represent the entire block of data. These block check characters are incorporated into the transmission frame and then checked at the receiving end.
CREDENTIAL,2,0,"Information, such as a user ID and password passed from an information system or information system user to an information system to establish access rights"
CRITICAL ACTIVITY,0,0,"Any schedule activity on a critical path in a project schedule. Most commonly determined by using the critical path method. Although some activities are critical in the dictionary sense, without being on the critical path, this meaning is seldom used in the project context. Reference: PMBOK"
CRITICAL PATH,0,0,"Generally, but not always, the sequence of schedule activities that determines the duration of the project. Generally, it is the longest path through the project. However, a critical path can end, as an example, on a schedule milestone that is in the middle of the project schedule and that has a finish-no-later-than imposed date schedule constraint. Reference: PMBOK"
CRITICAL SUCCESS FACTOR,0,0,"A methodology, management tool or design technique that enables the effective development and deployment of a project or process."
CRITICAL SUCCESS FACTORS,0,0,The limited number of areas of performance that are essential for a project to achieve its goals and objectives. They are the key areas of activity in which favorable results are absolutely necessary to reach goals. Critical success factors are often referred to as CSF. Reference: SEI
CRITICAL THINKING,0,0,Sustained suspension of judgment with an awareness of multiple perspectives and alternatives.
CRL,2,0,"A ìhot listsî that identifies certificates that have been withdrawn, canceled or compromised or that should not be trusted because of other identified reasons. CRLs should be replicated to all subscribing servers to a specific root certification authority."
CRM,4,0,"Customer relationship management (CRM)¨Üis a business strategy that optimizes revenue and profitability while promoting customer satisfaction and loyalty. CRM technologies enable strategy, and identify and manage customer relationships, in person or virtually. CRM software provides functionality to companies in four segments: sales, marketing, customer service and digital commerce."
CROSS-DOCKING,4,0,"The planning of warehouse ìput awayî assignments so that inventory can be moved from one shipment to another on a dock without movement to a rack or warehouse location. Although this type of inventory movement may violate lot and code date movement parameters, cross-dock planning is used frequently to minimize labor costs and handling in warehouses and distribution centers."
CROSS-SELLING,0,0,Marketing complementary products to customers.
CROWDFUNDING,4,0,The securing of business financing from individuals in the marketplaceóthe ìcrowdîóto fund an initiative.
CROWDSOURCING,1,1,"Crowdsourcing describes the processes for sourcing a task or challenge to a broad, distributed set of contributors using the Web and social collaboration techniques. Crowdsourcing applications typically include mechanisms to attract the desired participants, stimulate relevant contributions and select winning ideas or solutions."
CRP,0,0,"Capacity requirements planning (CRP) is the process of specifying the level of resources (facilities, equipment and labor force size) that best supports the enterpriseÇs competitive strategy for production."
CRUD,3,0,Guidelines for defining how different people or communities within an organization deal with data elements owned by the organization.
CRYPTOCURRENCY,0,1,Virtual currency that is not issued by any central bank and uses encryption technologies to secure transactions and generate new units of the currency.
CRYPTOGRAPHY,2,1,"The process of transforming plain text into cipher text, and cipher text into plain text."
CSB,2,0,"An entity (real or virtual) that manages the use, performance and delivery of cloud services, in addition to enabling the negotiations and relationships between cloud providers and cloud consumers. NIST defines CSB as an IT role and business model in which a company or other entity adds value to one or more (public or private) cloud services on behalf of one or more consumers of that service via three primary roles including aggregation, integration and customization brokerage."
CSD,2,0,"The hub where the needs of support groups, distributors, suppliers and customers are consolidated, and where network and system management (NSM) tools are integrated. The CSD has become the integration point for multiple management disciplines, the single point of contact for providing multiple IS services to the end users, and the source of automation for multiple workflow processes."
CSF,0,0,"A methodology, management tool or design technique that enables the effective development and deployment of a project or process."
CSI,2,1,"Specializes in the integration of cloud hosted services (sometimes referred to as Integration-as-a-Service). For the extended hybrid cloud model some of the IT solutions, services and data are maintained locally, while others are served remotely via multiple cloud providers."
CSIA,0,0,The process followed to determine the cost and/or schedule impact of a specific change with a project.
VOC,0,0,"Voice of the customer (VoC) solutions combine multiple, traditionally siloed technologies associated with the capture, storage and analysis of direct, indirect and inferred customer feedback. Technologies such as social media monitoring, enterprise feedback management, speech analytics, text mining and Web analytics are integrated to provide a holistic view of the customerÇs voice. The resultant customer insights are acted on by disseminating relevant information to the right person at the right time on the right channel."
CSP,1,0,"A content services platform (CSP) is a set of services and microservices, embodied as an integrated product suite and applications that share common APIs and repositories. A CSP exploits diverse content types and serves multiple constituencies and numerous use cases across an organization."
CSS,4,1,An XML protocol used to control formatting of Web pages.
CSU,2,1,"A device found on digital links that transfers data faster than a modem (in a range from 56 kilobits per second to 1.5 megabits per second) but does not permit dial-up functions. It also performs certain line-conditioning and equalization functions, and responds to loop-back commands sent from a central office. A CSU is the link between digital lines from the central office and devices such as channel banks or data communications devices."
CTI,2,1,"The intelligent linking of computers with switches, enabling coordinated voice and data transfers to the desktop."
CTM,2,0,"In the Commonwealth of Virginia, it is the application of information technology investment management (ITIM) principles and practices in support of the business activities of state government."
CTO,0,0,"The CTO has overall responsibility for managing the physical and personnel technology infrastructure including technology deployment, network and system management, integration testing, and developing technical operations personnel. CTOs also manage client relations to ensure that service objective expectations are developed and managed in the operations areas."
CTP SYSTEMS,2,1,"Capable to promise (CTP) systems enable enterprises to commit to customer orders based on production/resource capacity (available or planned) and inventory (available or planned). CTP solutions consider resource (equipment, people and materials) availability, capacities, constraints, work in progress or planned work, multiple steps in the production process, multiple nodes in a supply chain network (including, in some sophisticated use cases, supplier networks) and various rules to calculate accurate promises. Newer systems also consider non-production-related constraints, such as transportation, which enable delivery factors (such as shipping mode options) to be factored into promise dates."
CTQ,0,0,Critical to quality are those aspects of a product or service that a customer deems as must-have features to be satisfied.
CTR,0,1,"The click-through rate (CTR) is a measure that refers to the number of times a webpage advertisement is clicked, compared to the number of times it is displayed. Royalties are often based on CTR. This term is also used in reference to a websiteÇs ability to persuade a visitor to Çclick throughÇ to another site."
CTS,2,1,Type of RSI in which pressure on the median nerve through the wristÇs bony carpal tunnel structure produces pain.
CTX,2,1,"An electronic-commerce standard format that allows for inclusion of 9,999 ÇaddendaÇ records in addition to the primary financial records (i.e., amount being moved, bank routing number and checking-account number)."
CU,4,0,A logical partition of applications and data to be upgraded together.
CULTURE,0,0,"A set of shared values and beliefs that a group holds and that determines how the group perceives, thinks about, and appropriately reacts to its various environments; A collective programming of the mind that distinguishes not only societies (or nations), but also industries, professions, and organizations."
CURRENT PROCEDURAL TERMINOLOGY,4,0,"A widely used controlled medical vocabulary authored by the American Medical Association, this system describes medical and surgical procedures in a hierarchical format with six major sections and more than 7,300 codes. A series of two-digit modifiers are used to increase specificity, allowing the reporting of a procedure under specific circumstances."
CUSTOM SOFTWARE,4,1,Software programs that are designed and developed for a companyÇs specific needs as opposed to being bought off the shelf.
CUSTOMER,0,0,The person or organization that will use the project's product or service or results. Reference: PMBOK
CUSTOMER ANALYTICS,4,1,"Customer analytics is the use of data to understand the composition, needs and satisfaction of the customer. Also, the enabling technology used to segment buyers into groupings based on behavior, to determine general trends, or to develop targeted marketing and sales activities.  Also see:  GartnerÇs Data & Analytics Summit¨ÜÇƒÏ The explosion of data sources, big data analytics use cases, technology and analytics roles is yielding a wealth of new business opportunities. Learn more about how to leverage these opportunities at GartnerÇs Data & Analytics Summit Free research and webinars from Gartner on Big Data Analytics."
CUSTOMER COMMUNICATIONS MANAGEMENT,0,0,"Customer communications management (CCM) is defined as the strategy to improve the creation, delivery, storage and retrieval of outbound communications, including those for marketing, new product introductions, renewal notifications, claims correspondence and documentation, and bill and payment notifications. These interactions can happen through a widespread range of media and output, including documents, email, Short Message Service (SMS) and Web pages. CCM solutions support these objectives, providing companies with an application to improve outbound communications with their distributors, partners, regulatory bodies and customers."
CUSTOMER DISCOVERY,0,0,First phase of the lean startup methodology; the process of finding out whether the perceived problem actually exists and whether there would be a market for a hypothetical solution.
CUSTOMER ENGAGEMENT CENTER,4,0,"The CRM customer engagement center (CEC) market includes software applications used to provide customer service and support by engaging intelligently Çboth proactively and reactively Çwith customers by answering questions, solving problems and giving advice. The orchestration of intelligent customer processes through a CEC application is built around a case management record and process. It may include advisory services, problem diagnostics and problem resolution, account management, insurance claims handling, servicing of banking interactions, provisioning, and returns management."
CUSTOMER ENGAGEMENT HUB,2,1,"The customer engagement hub (CEH) is an architectural framework that ties multiple systems together to optimally engage the customer. A CEH allows personalized, contextual customer engagement, whether through a human, artificial agent, or sensors, across all interaction channels. It reaches and connects all departments, allowing, for example, the synchronization of marketing, sales and customer service processes.î"
CUSTOMER EXPERIENCE,0,0,"Customer experience, or CX, encompasses every interaction a brand has with its customers, leading to an overall impression the organization creates with its customers for the lifetime of their relationship with the brandóand especially during their purchase journey. Customer experience is, by necessity, closely tied to employee experience (EX), as employees must be equipped to support the customer experience at every touchpoint."
CUSTOMER EXPERIENCE MANAGEMENT,0,0,"Customer experience management (CXM) is the discipline of understanding customers and deploying strategic plans that enable crossfunctional efforts and customer-centric culture to improve satisfaction, loyalty and advocacy.Learn how to implement CX to drive retention and growth as a tech CEO"
CUSTOMER IDENTITY AND ACCESS MANAGEMENT,2,1,"Customer identity and access management (CIAM) manages the authentication and authorization for customer identities. CIAM is necessary for public-facing applications that require users to register identities and create accounts. Key CIAM features include self-service for registration, password and consent management, profile generation and management, authentication and authorization into applications, identity repositories, reporting and analytics, APIs and SDKs for mobile applications, and social identity registration and login."
CUSTOMER INFORMATION FILE,2,1,"A customer information file (CIF) is a system that consolidates customer account information and combines it with basic demographic information to create a current snapshot of a customer relationship. CIFs are often a central component of integrated banking application packages and are primarily used to support operational activities with current, as opposed to historical, data."
CUSTOMER INTELLIGENCE,4,1,"Customer intelligence (CI) is the collection and analysis of large amounts of data that organizations use to determine the best, most effective ways to interface and interact with their customers. Details and activities that are gathered about customers are analyzed to gain deeper understanding and build more meaningful business relationships."
CUSTOMER PORTAL,4,1,"An enterprise portal designed to automate the business processes that occur before, during, and after sales between a supplier and multiple customers."
CUSTOMER PREMISES EQUIPMENT,2,1,"Customer premises equipment (CPE) consists of any telephone apparatus Çincluding telephone handsets, private branch exchange (PBX) switching equipment, key and hybrid telephone systems, and add-on devices Çthat is physically located on a customerÇs property, as opposed to being housed in the telephone companyÇs central office or elsewhere in the network."
CUSTOMER RELATIONSHIP MANAGEMENT,4,1,"Customer relationship management (CRM) analytics collect, organize and synthesize consumer data captured across the organization to help healthcare payers solve customer-facing business problems through reporting tools, dashboards, portals and other methods. It encompasses three critical business processes Çmarketing, sales and customer service Çand pulls data from many sources to make it available to multiple users across a payer organization."
CUSTOMER RELATIONSHIP MANAGEMENT SYSTEM,4,1,(CRM) An information system used to create and maintain lasting relationships with customers by concentrating on the downstream information flows.
CUSTOMER RELATIONSHIP MANAGEMENT SYSTEMS,4,1,"(CRM) Information systems that track all the ways in which a company interacts with its customers and analyze these interactions to optimize revenue, profitability, customer satisfaction, and customer retention."
CUSTOMER SERVICE AND SUPPORT,2,1,"Once known as the Çcomplaint department,Ç customer service and support or CSS is responsible for retaining and extending customer relationships once a product or service is sold. Due to the increasing complexity of customer interactions, customer service organizations need a complex technological infrastructure that is flexible, extensible and scalable and that integrates front-office applications with back-end processes and data. The components of CSS include: Çƒ¢ Call management ÇThe core functionality of CSS applications. This component is used to log all incoming telephone calls and transactions and to manage the transaction from initiation through closure. Çƒ¢ Internet-based customer service suites ÇAlso known as e-service suites, these applications and tools empower customers, partners and prospects for self-service and interactions with the enterprise via the Web, an intranet or an extranet. Çƒ¢ Field service and dispatch (FS/D) systems ÇFS/D has become an essential element of complete CSS suites and is an important element of customer relationship management (CRM). FS/D software is evolving from solely back-office functionality to an enterprise system that tightly couples the back office with the front-office servicing systems. Çƒ¢ Contact centers ÇTraditional call centers handle voice-only customer contact, whereas contact centers include all types of channels of customer contact, including voice (e.g., telephone, IVR, speech recognition and voice verification), the Web, fax, video kiosks and e-mail. This is an inbound and outbound service-based environment in which agents handle all types of contacts regarding sales, customer service, marketing, telemarketing, collections and other functions.  ÇTrouble TicketingÇ Most Requested Feature in Customer Service Software, According to Recent Report."
CUSTOMER VALIDATION,0,0,Second phase of the lean startup methodology; the process of testing the hypothesis whether customers would actually be willing to pay for the solution.
CUSTOMIZATION,0,0,Modifying software so that it better suits user needs.
CV,0,0,A measure of cost performance on a project. It is the algebraic difference between earned value (EV) and actual cost (AC). CV=EV minus AC. A positive value indicates a favorable condition and a negative value indicates an unfavorable condition. Reference: PMBOK
CVS,2,0,"Eyestrain condition related to computer display screen use; symptoms include headaches, blurred vision, and dry and irritated eyes."
CX,2,0,"An omnichannel customer experience (CX) is a multichannelÇƒÓbrick-and-mortar, desktop, mobile, etc.ÇƒÓapproach to marketing, sales and customer service that creates an integrated and seamless customer experience. It ensures cohesion across such functions as communication, distribution and promotion."
CYBER RESILIENCE,2,1,"The ability of an organization to enable business acceleration (enterprise resiliency) by preparing for, responding to, and recovering from cyber threats. A cyber-resilient organization can adapt to known and unknown crises, threats, adversities, and challenges. Critical data is routinely monitored and tested for integrity, and recoverability."
CYBER SECURITY,2,1,"Practice of defending computers, servers, mobile devices, electronic systems, networks, and data from malicious attacks. It's also known as information technology security or electronic information security."
CYBERBULLYING,2,1,"The use of a computer to deliberately cause emotional distress in someone, often by manipulating, discrediting, or humiliating the victim."
CYBERSECURITY,2,1,"Cybersecurity is the combination of people, policies, processes and technologies employed by an enterprise to protect its cyber assets. Cybersecurity is optimized to levels that business leaders define, balancing the resources required with usability/manageability and the amount of risk offset. Subsets of cybersecurity include IT security, IoT security, information security and OT security.Explore the best practices to create a resilient, scalable and agile cybersecurity strategy."
CYBERSECURITY POLICIES,2,1,"A cybersecurity policy defines and documents an organizationÇs statement of intent, principles and approaches to ensure effective management of cybersecurity risks in pursuit of its strategic objectives. Use this eBook to bring cyber awareness to your organization for better management of risk(s)."
CYBERSQUATTING,2,1,"The dubious practice of registering a domain name, then trying to sell the name to the person, company, or organization most likely to want it."
CYBERTERRORISM,2,1,"The use of computer and networking technologies against persons or property to intimidate or coerce governments, individuals, or any segment of society to attain political, religious, or ideological goals."
CYCLE PLAN,0,0,"A project management plan that organizes project activities in relation to time. It identifies critical beginning and end dates and breaks the work spanning these dates into phases. The general man- ager tracks the phases to coordinate the eventual transition from project to operational status, a process that culminates on the Çgo liveÇ date."
CYCLE TIME,0,0,"The time it takes to complete a process or service operation, including all value-adding and non-value-adding time."
DAAS,2,0,"Desktop as a service (DaaS) is an offering that provides users with an on-demand, virtualized desktop experience delivered from a remotely hosted location. It includes provisioning, patching and maintenance of the management plane and resources to host workloads."
DAM,2,1,"DAM stores, manages and renders rich media, including text, graphics, photos, video and audio. DAM can be sold as a software license or hosted service. Typically, DAM systems are intended to support a wide range of actors ó from specialized creative to generalist production to more operational and administrative roles ó both inside and outside an organization, often including agencies and channel partners."
DAP,3,1,"Database audit and protection (DAP) tools provide comprehensive security for relational database management systems (RDBMSs). DAP tools have their roots in the basic monitoring capabilities of database activity monitoring (DAM) tools. In response to expanded client requirements, vendors have added additional capabilities, such as data discovery and classification, threat and vulnerability management, application-level analysis, intrusion prevention and activity blocking, and identity and access management analysis."
DARK FIBER,2,1,Fiber-optic cable deployments that are not yet being used to carry network traffic. (The word ÇdarkÇ refers to the fact that no light is passing through the optical fibers.)
DARPA,2,1,The U.S. government department that developed the Transmission Control Protocol/Internet Protocol (TCP/IP) ARPANET protocol architecture.
DAS,2,1,"In Fiber Distributed Data Interface (FDDI), a device that is attached to both the primary and secondary rings."
DASHBOARD,4,0,"Common management monitoring tool, which provides a snapshot of metrics at any given point in time."
DASHBOARDS,4,0,"Dashboards are a reporting mechanism that aggregates and displays metrics and key indicators so they can be examined at a glance by all possible audiences. Dashboards help improve decision making by revealing and communicating contextual insights into metrics to display indicators with intuitive visualization, including charts, scales, gauges, and traffic lights that show indicator progress toward defined goals."
DAT,2,0,The change of a logical storage address to an actual storage address.
DATA,3,1,"An arrangement of numbers, characters, and/or images that represent concepts symbolically."
DATA ADMINISTRATION,3,1,"A special organizational function for managing the organizationís data resources, concerned with information policy, data planning, maintenance of data dictionaries, and data quality standards."
DATA ANALYTICS,4,1,"Data analytics is the process of collecting and analyzing lots of customer data to draw conclusions about behavior patterns, personal interests and purchasing trends. Analytics accelerate decision-making, improve business processes, enhance user engagement, reduce costs, and drive growth and profitability. Data analytics spans the analytics landscape, from the most basic descriptive and diagnostic analytics to advanced analytics like predictive, prescriptive and data sciences."
DATA AND ANALYTICS,3,1,Data and analytics is the management of data for all uses (operational and analytical) and the analysis of data to drive business processes and improve business outcomes through more effective decision making and enhanced customer experiences.Download 100 Data and Analytics Predictions Through 2025.
DATA ARCHIVING,3,1,Generally refers to long-term storage of data that is no longer in regular use but can be restored if need be.
DATA BREACH,3,1,"The unauthorized access and acquisition of unredacted computerized data that compromises the security or confidentiality of personal information. Good faith acquisition of personal information by an employee or agent of an individual or entity for the purposes of the individual or entity that is authorized to view the data is not a breach of the security of the system, provided that the personal information is not used for a purpose other than a lawful purpose of the individual or entity or subject to further unauthorized disclosure."
DATA BROKER,3,1,"A Data Broker is a† business that aggregates information from a variety of sources; processes it to enrich, cleanse or analyze it; and licenses it to other organizations. Data brokers can also license another companyís data directly, or process another organizationís data to provide them with enhanced results. Data is typically accessed via an application programming interface (API), and frequently involves subscription type contracts. Data typically is not ìsoldî (i.e., its ownership transferred), but rather it is licensed for particular or limited uses. (A data broker is also sometimes known as an information broker, syndicated data broker, or information product company.)"
DATA CENTER,3,1,"A data center is the department in an enterprise that houses and maintains back-end IT systems and data stores Çits mainframes, servers and databases. In the days of large, centralized IT operations, this department and all the systems resided in one physical place, hence the name data center.  With today's more distributed computing methods, single data center sites are still common, but are becoming less so. The term continues to be used to refer to the department that has responsibility for these systems, no matter how dispersed they are.  Market and industry trends are changing the way enterprises approach their data center strategies. Several factors are driving enterprises to look beyond traditional technology infrastructure silos and transform the way they view their data center environment and business processes. These include aging data center infrastructures that are at risk for not meeting future business requirements, an ongoing cost-consciousness, and the need to be more energy-efficient."
DATA CENTER BRIDGING,3,1,"The term Çdata center bridgingÇ (DCB) refers to a collection of proposed standards designed to transform Ethernet into a lossless network with efficient Layer 2 multipath forwarding. DCB (formerly called converged enhanced Ethernet [CEE]) depends on a handful of standards that are being developed by three different standards bodies: the American National Standards Institute, the Institute of Electrical and Electronics Engineers and the Internet Engineering Task Force (IETF). It is also known as Data Center Ethernet (DCE)."
DATA CENTER INFRASTRUCTURE MANAGEMENT,3,1,"Data center infrastructure management (DCIM) tools monitor, measure, manage and/or control data center utilization and energy consumption of all IT-related equipment (such as servers, storage and network switches) and facility infrastructure components (such as power distribution units [PDUs] and computer room air conditioners [CRACs]). You may also be interested in Master Data Management"
DATA CENTER OUTSOURCING,1,1,"Data center outsourcing (DCO) is a multiyear, annuity contract or relationship involving the day-to-day management responsibility for operating server or host platforms, including distributed servers and storage. Services include any combination (or all) of professional services and product support, as they relate to the ongoing management of computing and storage resources."
DATA CLASSIFICATION,3,1,A process of categorizing data according to its sensitivity.
DATA CLEANSING,3,1,"The process of detecting, correcting (e.g., standardizing the format), or removing corrupt or inaccurate data retrieved from different systems."
DATA COMMUNICATIONS,3,1,"Includes the equipment and telecommunications facilities that transmit, receive, and validate COV data between and among computer systems, including the hardware, software, interfaces, and protocols required for the reliable movement of information. As used in this document, Data Communications is included in the definition of government database, herein."
DATA DEDUPLICATION,3,1,"Data deduplication is a form of compression that eliminates redundant data on a subfile level, improving storage utilization. In this process, only one copy of the data is stored; all the redundant data will be eliminated, leaving only a pointer to the previous copy of the data. Deduplication can significantly reduce the required disk space, since only the unique data is stored."
DATA ECOSYSTEM,3,1,"A data ecosystem refers to a combination of enterprise infrastructure and applications that is utilized to aggregate and analyze information. It enables organizations to better understand their customers and craft superior marketing, pricing and operations strategies."
DATA FLOWS,3,1,Data moving through an organization or within an information system.
DATA GOVERNANCE,3,1,"Data governance ensures that the data is relevant, and that identified changes to the status quo, such as internal processes, system changes and market disruptions, are judiciously reviewed to ensure they do not negatively impact the relevance, timeliness or quality of the data."
DATA INCONSISTENCY,3,1,The presence of different values for same attribute when the same data are stored in multiple locations.
DATA INTEGRATION,3,1,"The discipline of data integration comprises the practices, architectural techniques and tools for achieving the consistent access and delivery of data across the spectrum of data subject areas and data structure types in the enterprise to meet the data consumption requirements of all applications and business processes. Data integration tools have traditionally been delivered via a set of related markets, with vendors in each market offering a specific style of data integration tool. In recent years, most of the activity has been within the ETL tool market. Markets for replication tools, data federation (EII) and other submarkets each included vendors offering tools optimized for a particular style of data integration, and periphery markets (such as data quality tools, adapters and data modeling tools) also overlapped with the data integration tool space. The result of all this historical fragmentation in the markets is the equally fragmented and complex way in which data integration is accomplished in large enterprises Çdifferent teams using different tools, with little consistency, lots of overlap and redundancy, and no common management or leverage of metadata. Technology buyers have been forced to acquire a portfolio of tools from multiple vendors to amass the capabilities necessary to address the full range of their data integration requirements. This situation is now changing, with the separate and distinct data integration tool submarkets converging at the vendor and technology levels. This is being driven by buyer demands as organizations realize they need to think about data integration holistically and have a common set of data integration capabilities they can use across the enterprise. It is also being driven by the actions of vendors, such as those in individual data integration submarkets organically expanding their capabilities into neighboring areas, as well as by acquisition activity that brings vendors from multiple submarkets together. The result is a market for complete data integration tools that address a range of different data integration styles and are based on common design tooling, metadata and runtime architecture."
DATA LAKE,3,1,"Data lakes are large collections of data from many, and often dissimilar, sources that span an entire organization. For data lake creation, your data sources can include internet of things sensors or devices, website traffic, LinkedIn or Twitter activity, and enterprise sales."
DATA MANAGEMENT,3,1,"Data management (DM) consists of the practices, architectural techniques, and tools for achieving consistent access to and delivery of data across the spectrum of data subject areas and data structure types in the enterprise, to meet the data consumption requirements of all applications and business processes.Find out why data fabric belongs in your data management thinking."
DATA MANAGEMENT PLATFORM,3,1,"A data management platform is software that controls the flow of data in and out of an organization. It supports data-driven ad strategies, such as segmentation."
DATA MANAGEMENT SOFTWARE,3,1,"Software used for creating and manipulating lists, creating files and databases to store data, and combining information for reports."
DATA MANAGEMENT TECHNOLOGY,3,1,Software governing the organization of data on physical storage media.
DATA MIGRATION,3,1,"Enterprise data migration refers to the process of moving data between computers, computer-based storage devices or formats. It is a very important aspect of system implementation and consolidation."
DATA MINING,3,1,"Data mining is the process of examining large databases to determine patterns in data. This field is a combination of statistics, advanced analytics and artificial intelligence (AI). Data mining helps companies make informed decisions about future products or service offerings, and improve their business processes and customer engagement."
DATA MODEL,3,1,A map or diagram that represents the entities of a database and their relationships.
DATA MODELING,3,1,Data modeling is a family of techniques used to describe the kinds of information that are important to an enterprise. Formal data modeling originally emerged to meet the demands of database designers.
DATA MONETIZATION,3,1,"Data Monetization refers to the process of using data to obtain quantifiable economic benefit. Internal or indirect methods include using data to make measurable business performance improvements and inform decisions. External or direct methods include data sharing to gain beneficial terms or conditions from business partners, information bartering, selling data outright (via a data broker or independently), or offering information products and services (for example, including information as a value-added component of an existing offering).Discover new data monetization opportunities in this on-demand webinar."
DATA OWNER,3,1,"An individual, who defines, manages and controls the use of data and ensures compliance with adopted standards within an agency. The Agency Head or designee designates the Agency Data Owner(s) for the functional/subject areas within their jurisdictional control or authority and ensures adequate resources for Agency Data Owner(s) to develop and maintain their respective functional subject areas in support of the Commonwealth's Data Management Program."
DATA PLATFORM,3,1,"A†data platform†is an integrated software solution that aggregates information in a cloud-based hub, where it can be governed, accessed and delivered to users,†applications and/or other technologies. By consolidating information from disparate sources, a data platform enables more collaborative decision-making within an organization."
DATA PREPARATION,3,1,"Data preparation is an iterative-agile process for exploring, combining, cleaning and transforming raw data into curated datasets for self-service data integration, data science, data discovery, and BI/analytics. To perform data preparation, data preparation tools are used by analysts, citizen data scientists and data scientists for self-service. The tools are also used by citizen integrators and data engineers for data enablement to reduce the time and complexity of interactively accessing, cataloging, harmonizing, transforming and modeling data for analytics in an agile manner with metadata and lineage support. These tools can provide data access for use in mostly analytical tasks that include storage, logical and physical data modeling, and data manipulation for data visualization, data integration and analytics. Some tools support machine-learning algorithms that can recommend or even automate actions to augment and accelerate data preparation."
